,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,120,188.4,4,7,1,0,0,0,1,0,0,1,0,1,0,0,102.32346263224883
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,120,139.45,4,7,1,0,0,0,1,0,1,0,0,1,0,0,128.05589429334663
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,240,74.4,3,7,1,0,0,1,0,0,1,0,1,0,0,0,236.10616081286503
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,400,35.36,1,7,0,1,0,1,0,0,1,0,1,0,0,0,453.1237380725047
46,47,70000,1,5,0,75,25,285,330,0,0,0,0,400,51.62,1,7,0,1,0,1,0,0,0,1,1,0,0,0,375.5280182822862
47,48,100000,1,6,0,75,55,240,290,0,0,0,0,240,90.8,1,7,1,0,0,1,0,0,0,1,0,1,0,0,352.3392966765956
48,49,85000,1,6,0,75,50,120,170,0,0,0,0,120,136.56,2,7,1,0,0,0,1,0,1,0,1,0,0,0,232.91391283666647
49,50,100000,1,6,0,75,65,300,350,0,0,0,0,120,150.72,4,7,1,0,0,0,1,0,1,0,1,0,0,0,337.87974180267844
50,51,90000,1,6,0,75,75,120,170,0,0,0,0,180,102.08,1,7,1,0,0,0,1,0,0,1,1,0,0,0,233.6508226275354
51,52,105000,1,6,0,75,50,240,290,0,0,0,0,180,114.39,3,7,1,0,0,0,1,0,0,1,0,1,0,0,350.68174002562756
52,53,75000,1,4,0,75,60,120,170,0,0,0,0,160,139.29,4,7,1,0,0,0,1,0,0,1,1,0,0,0,172.48853311517178
53,54,75000,1,4,0,75,75,120,170,0,0,0,0,120,188.53,3,7,1,0,0,0,1,0,1,0,0,1,0,0,153.69100927019713
54,55,75000,1,6,0,75,50,200,250,0,0,0,0,120,189.11,3,7,1,0,0,0,1,0,1,0,1,0,0,0,255.981006091317
55,56,75000,1,4,0,75,70,120,170,0,0,0,0,120,151.82,3,7,1,0,0,0,1,0,1,0,0,1,0,0,161.91396867680015
56,57,75000,1,5,0,75,60,310,360,0,0,0,0,200,98.27,3,7,1,0,0,0,1,0,1,0,1,0,0,0,319.3514288724704
57,58,75000,1,3,0,75,35,285,330,0,0,0,0,240,66.1,3,7,1,0,0,1,0,0,0,1,1,0,0,0,292.63376560727244
58,59,75000,1,3,0,75,30,330,380,0,0,0,0,270,54.04,2,7,1,0,0,0,1,0,0,1,1,0,0,0,344.30871303607654
59,60,75000,1,3,0,75,25,280,330,0,0,0,0,300,37.12,1,7,1,0,0,1,0,0,0,1,1,0,0,0,324.85385319072907
60,61,80000,1,4,0,75,40,210,260,0,0,0,0,240,77.16,2,7,1,0,0,0,1,0,0,1,0,1,0,0,288.8167900120021
61,62,40000,1,4,0,75,45,165,210,0,0,0,0,200,118.44,2,7,1,0,0,0,1,0,1,0,0,1,0,0,182.96221130999098
62,63,75000,1,4,0,75,50,165,210,0,0,0,0,120,176.82,3,7,1,0,0,0,1,0,1,0,0,0,0,1,151.1465886667407
63,64,40000,1,4,0,75,90,100,150,0,0,0,0,80,235.36,6,7,1,0,0,0,1,0,1,0,0,0,0,1,-1.1091983570212278
64,65,45000,1,3,0,75,130,165,210,0,0,0,0,60,254.87,7,7,1,0,0,0,1,0,0,1,0,0,0,1,-30.418820727724608
65,66,90000,1,6,0,75,120,165,210,0,0,0,0,60,296.1,9,7,1,0,0,0,1,0,0,1,0,1,0,0,152.33345092949685
66,67,50000,1,4,0,75,50,200,250,0,0,0,0,120,207.2,5,7,1,0,0,1,0,0,0,1,0,1,0,0,167.24513579983648
67,68,60000,1,3,0,75,75,165,210,0,0,0,0,90,238.32,6,7,1,0,0,1,0,0,0,1,0,1,0,0,104.56525241942657
68,69,60000,1,4,0,75,70,165,210,0,0,0,0,120,197.28,5,7,1,0,0,0,1,0,0,1,0,1,0,0,150.5906164702292
69,70,60000,1,6,0,75,120,310,360,0,0,0,0,60,228.64,6,7,1,0,0,0,1,0,0,1,0,1,0,0,200.43316308616187
70,71,60000,1,4,0,75,120,165,210,0,0,0,0,40,237.98,6,7,1,0,0,0,1,0,1,0,1,0,0,0,70.94454355951507
71,72,60000,1,5,0,75,130,165,210,0,0,0,0,100,197.31,5,7,1,0,0,0,1,0,1,0,1,0,0,0,102.19351685479458
72,73,60000,1,3,0,75,60,120,170,0,0,0,0,120,209.4,5,7,1,0,0,0,1,0,0,1,1,0,0,0,111.36909551344405
73,74,60000,1,4,0,75,130,280,330,0,0,0,0,80,261.01,6,7,1,0,0,0,1,0,0,1,1,0,0,0,132.87982329351993
74,75,65000,1,5,0,75,90,120,170,0,0,0,0,100,234.85,6,7,1,0,0,0,1,0,0,1,0,1,0,0,123.08788158424824
75,76,70000,1,4,0,75,130,120,170,0,0,0,0,80,281.32,4,7,1,0,0,0,1,0,1,0,0,1,0,0,70.3220987075556
