,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,120,188.4,4,7,1,0,0,0,1,0,0,1,0,1,0,0,101.20624845037335
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,120,139.45,4,7,1,0,0,0,1,0,1,0,0,1,0,0,125.19176390615172
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,240,74.4,3,7,1,0,0,1,0,0,1,0,1,0,0,0,223.62156590070504
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,400,35.36,1,7,0,1,0,1,0,0,1,0,1,0,0,0,413.2241772731884
46,47,70000,1,5,0,75,25,285,330,0,0,0,0,400,51.62,1,7,0,1,0,1,0,0,0,1,1,0,0,0,344.8670676913204
47,48,100000,1,6,0,75,55,240,290,0,0,0,0,240,90.8,1,7,1,0,0,1,0,0,0,1,0,1,0,0,319.3235403800238
48,49,85000,1,6,0,75,50,120,170,0,0,0,0,120,136.56,2,7,1,0,0,0,1,0,1,0,1,0,0,0,225.31345418457215
49,50,100000,1,6,0,75,65,300,350,0,0,0,0,120,150.72,4,7,1,0,0,0,1,0,1,0,1,0,0,0,314.7326880756474
50,51,90000,1,6,0,75,75,120,170,0,0,0,0,180,102.08,1,7,1,0,0,0,1,0,0,1,1,0,0,0,224.1415073665471
51,52,105000,1,6,0,75,50,240,290,0,0,0,0,180,114.39,3,7,1,0,0,0,1,0,0,1,0,1,0,0,318.5045790210684
52,53,75000,1,4,0,75,60,120,170,0,0,0,0,160,139.29,4,7,1,0,0,0,1,0,0,1,1,0,0,0,168.3487149010988
53,54,75000,1,4,0,75,75,120,170,0,0,0,0,120,188.53,3,7,1,0,0,0,1,0,1,0,0,1,0,0,149.36868715233564
54,55,75000,1,6,0,75,50,200,250,0,0,0,0,120,189.11,3,7,1,0,0,0,1,0,1,0,1,0,0,0,244.04239497872646
55,56,75000,1,4,0,75,70,120,170,0,0,0,0,120,151.82,3,7,1,0,0,0,1,0,1,0,0,1,0,0,156.3269802379268
56,57,75000,1,5,0,75,60,310,360,0,0,0,0,200,98.27,3,7,1,0,0,0,1,0,1,0,1,0,0,0,296.33519244959217
57,58,75000,1,3,0,75,35,285,330,0,0,0,0,240,66.1,3,7,1,0,0,1,0,0,0,1,1,0,0,0,268.01081374774606
58,59,75000,1,3,0,75,30,330,380,0,0,0,0,270,54.04,2,7,1,0,0,0,1,0,0,1,1,0,0,0,312.3235685486864
59,60,75000,1,3,0,75,25,280,330,0,0,0,0,300,37.12,1,7,1,0,0,1,0,0,0,1,1,0,0,0,295.5583974132308
60,61,80000,1,4,0,75,40,210,260,0,0,0,0,240,77.16,2,7,1,0,0,0,1,0,0,1,0,1,0,0,261.94755241368074
61,62,40000,1,4,0,75,45,165,210,0,0,0,0,200,118.44,2,7,1,0,0,0,1,0,1,0,0,1,0,0,172.1678047846199
62,63,75000,1,4,0,75,50,165,210,0,0,0,0,120,176.82,3,7,1,0,0,0,1,0,1,0,0,0,0,1,146.9771752125337
63,64,40000,1,4,0,75,90,100,150,0,0,0,0,80,235.36,6,7,1,0,0,0,1,0,1,0,0,0,0,1,15.886506640543246
64,65,45000,1,3,0,75,130,165,210,0,0,0,0,60,254.87,7,7,1,0,0,0,1,0,0,1,0,0,0,1,-12.674830833169153
65,66,90000,1,6,0,75,120,165,210,0,0,0,0,60,296.1,9,7,1,0,0,0,1,0,0,1,0,1,0,0,149.39676416722128
66,67,50000,1,4,0,75,50,200,250,0,0,0,0,120,207.2,5,7,1,0,0,1,0,0,0,1,0,1,0,0,156.11650076614774
67,68,60000,1,3,0,75,75,165,210,0,0,0,0,90,238.32,6,7,1,0,0,1,0,0,0,1,0,1,0,0,102.19546127548523
68,69,60000,1,4,0,75,70,165,210,0,0,0,0,120,197.28,5,7,1,0,0,0,1,0,0,1,0,1,0,0,143.29934012045098
69,70,60000,1,6,0,75,120,310,360,0,0,0,0,60,228.64,6,7,1,0,0,0,1,0,0,1,0,1,0,0,187.9281924434921
70,71,60000,1,4,0,75,120,165,210,0,0,0,0,40,237.98,6,7,1,0,0,0,1,0,1,0,1,0,0,0,83.36395679793895
71,72,60000,1,5,0,75,130,165,210,0,0,0,0,100,197.31,5,7,1,0,0,0,1,0,1,0,1,0,0,0,111.5728428145211
72,73,60000,1,3,0,75,60,120,170,0,0,0,0,120,209.4,5,7,1,0,0,0,1,0,0,1,1,0,0,0,114.06128034486017
73,74,60000,1,4,0,75,130,280,330,0,0,0,0,80,261.01,6,7,1,0,0,0,1,0,0,1,1,0,0,0,133.31682386781424
74,75,65000,1,5,0,75,90,120,170,0,0,0,0,100,234.85,6,7,1,0,0,0,1,0,0,1,0,1,0,0,121.85598975135031
75,76,70000,1,4,0,75,130,120,170,0,0,0,0,80,281.32,4,7,1,0,0,0,1,0,1,0,0,1,0,0,78.43617941751728
