,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,120,188.4,4,7,1,0,0,0,1,0,0,1,0,1,0,0,120.49701214977968
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,120,139.45,4,7,1,0,0,0,1,0,1,0,0,1,0,0,123.41366555546686
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,240,74.4,3,7,1,0,0,1,0,0,1,0,1,0,0,0,276.01751734241066
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,400,35.36,1,7,0,1,0,1,0,0,1,0,1,0,0,0,475.25633397119833
46,47,70000,1,5,0,75,25,285,330,0,0,0,0,400,51.62,1,7,0,1,0,1,0,0,0,1,1,0,0,0,378.89419929254035
47,48,100000,1,6,0,75,55,240,290,0,0,0,0,240,90.8,1,7,1,0,0,1,0,0,0,1,0,1,0,0,335.14315047035626
48,49,85000,1,6,0,75,50,120,170,0,0,0,0,120,136.56,2,7,1,0,0,0,1,0,1,0,1,0,0,0,196.21279626990557
49,50,100000,1,6,0,75,65,300,350,0,0,0,0,120,150.72,4,7,1,0,0,0,1,0,1,0,1,0,0,0,270.482120772188
50,51,90000,1,6,0,75,75,120,170,0,0,0,0,180,102.08,1,7,1,0,0,0,1,0,0,1,1,0,0,0,195.14841672635166
51,52,105000,1,6,0,75,50,240,290,0,0,0,0,180,114.39,3,7,1,0,0,0,1,0,0,1,0,1,0,0,285.091397174598
52,53,75000,1,4,0,75,60,120,170,0,0,0,0,160,139.29,4,7,1,0,0,0,1,0,0,1,1,0,0,0,139.0675162045609
53,54,75000,1,4,0,75,75,120,170,0,0,0,0,120,188.53,3,7,1,0,0,0,1,0,1,0,0,1,0,0,117.96810375614024
54,55,75000,1,6,0,75,50,200,250,0,0,0,0,120,189.11,3,7,1,0,0,0,1,0,1,0,1,0,0,0,244.99256305178616
55,56,75000,1,4,0,75,70,120,170,0,0,0,0,120,151.82,3,7,1,0,0,0,1,0,1,0,0,1,0,0,120.36873706984443
56,57,75000,1,5,0,75,60,310,360,0,0,0,0,200,98.27,3,7,1,0,0,0,1,0,1,0,1,0,0,0,269.83017532180946
57,58,75000,1,3,0,75,35,285,330,0,0,0,0,240,66.1,3,7,1,0,0,1,0,0,0,1,1,0,0,0,271.5302211516866
58,59,75000,1,3,0,75,30,330,380,0,0,0,0,270,54.04,2,7,1,0,0,0,1,0,0,1,1,0,0,0,286.9000751312657
