,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,120,188.4,4,7,1,0,0,0,1,0,0,1,0,1,0,0,99.8136396781577
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,120,139.45,4,7,1,0,0,0,1,0,1,0,0,1,0,0,127.65036700455701
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,240,74.4,3,7,1,0,0,1,0,0,1,0,1,0,0,0,236.08033196362084
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,400,35.36,1,7,0,1,0,1,0,0,1,0,1,0,0,0,450.0569096555712
46,47,70000,1,5,0,75,25,285,330,0,0,0,0,400,51.62,1,7,0,1,0,1,0,0,0,1,1,0,0,0,370.57306900165815
47,48,100000,1,6,0,75,55,240,290,0,0,0,0,240,90.8,1,7,1,0,0,1,0,0,0,1,0,1,0,0,349.814455235081
48,49,85000,1,6,0,75,50,120,170,0,0,0,0,120,136.56,2,7,1,0,0,0,1,0,1,0,1,0,0,0,236.59993363698442
49,50,100000,1,6,0,75,65,300,350,0,0,0,0,120,150.72,4,7,1,0,0,0,1,0,1,0,1,0,0,0,341.0229644066823
50,51,90000,1,6,0,75,75,120,170,0,0,0,0,180,102.08,1,7,1,0,0,0,1,0,0,1,1,0,0,0,235.21303558622952
51,52,105000,1,6,0,75,50,240,290,0,0,0,0,180,114.39,3,7,1,0,0,0,1,0,0,1,0,1,0,0,349.52616642777383
52,53,75000,1,4,0,75,60,120,170,0,0,0,0,160,139.29,4,7,1,0,0,0,1,0,0,1,1,0,0,0,172.3514619130372
53,54,75000,1,4,0,75,75,120,170,0,0,0,0,120,188.53,3,7,1,0,0,0,1,0,1,0,0,1,0,0,154.58611243835026
54,55,75000,1,6,0,75,50,200,250,0,0,0,0,120,189.11,3,7,1,0,0,0,1,0,1,0,1,0,0,0,259.0101195861773
55,56,75000,1,4,0,75,70,120,170,0,0,0,0,120,151.82,3,7,1,0,0,0,1,0,1,0,0,1,0,0,162.66268943817954
56,57,75000,1,5,0,75,60,310,360,0,0,0,0,200,98.27,3,7,1,0,0,0,1,0,1,0,1,0,0,0,320.85844534124124
57,58,75000,1,3,0,75,35,285,330,0,0,0,0,240,66.1,3,7,1,0,0,1,0,0,0,1,1,0,0,0,288.7543713008123
58,59,75000,1,3,0,75,30,330,380,0,0,0,0,270,54.04,2,7,1,0,0,0,1,0,0,1,1,0,0,0,340.96184689280597
59,60,75000,1,3,0,75,25,280,330,0,0,0,0,300,37.12,1,7,1,0,0,1,0,0,0,1,1,0,0,0,320.5370835096719
60,61,80000,1,4,0,75,40,210,260,0,0,0,0,240,77.16,2,7,1,0,0,0,1,0,0,1,0,1,0,0,285.5790180945113
61,62,40000,1,4,0,75,45,165,210,0,0,0,0,200,118.44,2,7,1,0,0,0,1,0,1,0,0,1,0,0,181.94750266543252
62,63,75000,1,4,0,75,50,165,210,0,0,0,0,120,176.82,3,7,1,0,0,0,1,0,1,0,0,0,0,1,152.4352032948095
63,64,40000,1,4,0,75,90,100,150,0,0,0,0,80,235.36,6,7,1,0,0,0,1,0,1,0,0,0,0,1,1.0103269281041207
64,65,45000,1,3,0,75,130,165,210,0,0,0,0,60,254.87,7,7,1,0,0,0,1,0,0,1,0,0,0,1,-30.957592935997354
65,66,90000,1,6,0,75,120,165,210,0,0,0,0,60,296.1,9,7,1,0,0,0,1,0,0,1,0,1,0,0,153.6265814838844
66,67,50000,1,4,0,75,50,200,250,0,0,0,0,120,207.2,5,7,1,0,0,1,0,0,0,1,0,1,0,0,163.06840743489778
67,68,60000,1,3,0,75,75,165,210,0,0,0,0,90,238.32,6,7,1,0,0,1,0,0,0,1,0,1,0,0,100.83319257562158
